ORDER_ID,PRODUCT_ID,USER_ID,PRODUCT_DESCRIPTION,ORDER_DATE,SHIPPING_DATE,DELIVERY_DATE,AMOUNT,STATUS,DELIVERY_PARTNER_NO
1,19135002.0,34,"Red and blue printed unstitched dress material Red and blue printed kurta fabric Red and blue embellished bottom fabric Red and blue printed dupatta, has printed border Disclaimer: Images are for referral purposes only. The actual product is unstitched Dry Clean Only Kurta Fabric Length:-1.80 Meter Bottom Fabric Length:-1.30 Meter Dupatta Fabric Length:-2.20 Meter",2025-10-06,2025-10-07,2025-10-10,904.0,packed,1763817426
2,15274868.0,23,"Purple regular wrap top Solid V-neck,  short,  regular sleeves Handloom cotton Tie-ups closure The model (height 5'8) is wearing a size S100% Cotton Hand wash",2025-09-26,2025-09-29,2025-10-03,4816.0,packed,6678430602
3,15183010.0,37,Women Solid Full Sleeves Denim JacketCotton Machine Wash,2025-10-09,2025-10-10,2025-10-17,1245.0,delivered,6789382057
4,13750906.0,51,"Shiffli Detailed Flared Mini Skirt With Elasticated Waist.Pair This Skirt With  Fitted Top, Shell Earrings From Kazo And Strappy Footwear For A Beach Ready Look. COTTON SHIFFLI",2025-10-16,2025-10-19,2025-10-21,1188.0,shipped,2727142969
5,16583238.0,52,"Beige solid pullover ,has a turtle neck,  long sleeves,  ribbed hemThe model (height 5'8) is wearing a size S100% Acrylic Machine wash",2025-09-25,2025-09-28,2025-09-30,4957.0,shipped,4864099984
6,12178108.0,9,"Blue washed jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hemThe model (height 5'8"") is wearing a size S100% cotton Machine Wash",2025-09-25,2025-09-26,2025-09-28,4816.0,shipped,5644175940
7,18840966.0,5,"Beige regular cinched waist top Solid Round neck,  long,  bell sleeve sleeves Gathered or pleated detail Woven 100% Polyester Machine WashThe model (height 5'8) is wearing a size S",2025-09-29,2025-10-02,2025-10-07,3354.0,out for delivery,5104491002
8,12221892.0,20,"Green coloured wash 4-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and paperbag waistband with belt loopsRegular Fit Stretchable The model (height 5'8"") is wearing a size 2896% cotton, 4% spandex Machine-wash",2025-10-01,2025-10-04,2025-10-08,4941.0,delivered,3367334568
9,19069120.0,15,"Gold-toned and white floral embroidered dupatta,  solid border POLYESTER",2025-09-27,2025-09-30,2025-10-03,2688.0,packed,3220255862
10,17084446.0,58,"White & Red Printed Dupatta, has solid border Length:2.40 Mtr ; Width :1.08 Mtr Material : Tusser Silk , Type :Printed , Care: Dry clean Only",2025-10-01,2025-10-02,2025-10-09,1734.0,out for delivery,8024805120
11,18859090.0,73,"Purple and brown dyed unstitched dress material Purple and brown dyed kurta fabric Purple and brown dyed bottom fabric Purple and brown dyed dupatta, has printed border Disclaimer: Images are for referral purposes only. The actual product is unstitched First Wash should preferably be dry clean Top fabric length: Bottom fabric length: Dupatta length: 2 metres (approx)",2025-09-26,2025-09-27,2025-10-01,3432.0,delivered,3610203285
12,14094022.0,25,"Beige and golden printed open front jacket, is collarless, and has a curved hem, with attached lining Engineered with moisture absorbent featureThe model (height 5'8"") is wearing a size S60% Viscose and 40% Polyester Hand wash",2025-09-21,2025-09-23,2025-09-28,4022.0,shipped,6539664919
13,11283270.0,43,"This co-ords consists of top and skirt Off-White and red printed top, has a V-neck, sleeveless Off-White and red printed skirt, has a slip-on closureThe model (height 5'8"") is wearing a size S55% Viscose / 35% Cotton / 10% Flex",2025-09-25,2025-09-26,2025-09-29,2985.0,shipped,5333510682
14,18499480.0,49,"Green and red embellished unstitched dress material Green and red embellished kurta fabric Green and red solid bottom fabric Green and red dupatta, has taping border Disclaimer: Images are for referral purposes only. The actual product is unstitchedTop fabric length: Bottom fabric length: Dupatta length: 2 metres (approx) Dry Clean",2025-10-02,2025-10-05,2025-10-08,1200.0,ordered,1913561031
15,18757316.0,28,"Pink and gold-toned embroidered lehenga choli with dupatta, Pink and gold-toned embroidered ready to wear blouse,  has a round neck,  sleeveless,  pink and gold-toned embroidered ready to wear lehenga, flared hem Pink and gold-toned embellished dupatta,  taping border, Cold water wash only",2025-10-12,2025-10-13,2025-10-15,3458.0,out for delivery,2647038690
